"Date","Team","Opponent","Age","Assist1","Assist2","Goalie","Period","Time","Strength","ArenaName","Result","HomeAway","ENG","PS"
1983-10-05,"EDM","TOR",22,"Lee Fogolin",NA,"Rick St. Croix","3",1899-12-31 02:33:00,"SH","Northlands Coliseum","W","H",0,0
1983-04-03,"EDM","CGY",22,"Kevin Lowe",NA,"Don Edwards","2",1899-12-31 16:29:00,"EV","Northlands Coliseum","T","H",0,0
1983-04-01,"EDM","WIN",22,"Jari Kurri","Charlie Huddy","Doug Soetaert","1",1899-12-31 13:49:00,"EV","Northlands Coliseum","W","H",0,0
1983-03-29,"EDM","VAN",22,"Glenn Anderson","Jari Kurri","Richard Brodeur","3",1899-12-31 03:18:00,"EV","Pacific Coliseum","W","A",0,0
1983-03-26,"EDM","LAK",22,"Paul Coffey",NA,"Gary Laskoski","2",1899-12-31 02:21:00,"PP","Great Western Forum","W","A",0,0
1983-03-26,"EDM","LAK",22,"Glenn Anderson","Jari Kurri","Gary Laskoski","3",1899-12-31 18:04:00,"PP","Great Western Forum","W","A",0,0
1983-03-21,"EDM","TOR",22,"Paul Coffey","Charlie Huddy","Mike Palmateer","2",1899-12-31 03:14:00,"PP","Maple Leaf Gardens","W","A",0,0
1983-03-19,"EDM","DET",22,"Glenn Anderson","Charlie Huddy","Gilles Gilbert","1",1899-12-31 12:04:00,"PP","Northlands Coliseum","W","H",0,0
1983-03-16,"EDM","VAN",22,"Paul Coffey","Willy Lindstrom","John Garrett","3",1899-12-31 16:00:00,"EV","Northlands Coliseum","W","H",0,0
1983-03-13,"EDM","BUF",22,"Jari Kurri","Willy Lindstrom","Bob Sauve","3",1899-12-31 03:24:00,"EV","Northlands Coliseum","W","H",0,0
1983-03-08,"EDM","HAR",22,"Charlie Huddy",NA,"Mike Veisor","1",1899-12-31 16:30:00,"EV","Hartford Civic Center","W","A",0,0
1983-03-08,"EDM","HAR",22,"Don Jackson","Jari Kurri","Mike Veisor","2",1899-12-31 08:29:00,"EV","Hartford Civic Center","W","A",0,0
1983-03-08,"EDM","HAR",22,"Glenn Anderson",NA,"Mike Veisor","3",1899-12-31 02:29:00,"EV","Hartford Civic Center","W","A",0,0
1983-03-06,"EDM","BOS",22,"Kevin Lowe","Jari Kurri","Marco Baron","1",1899-12-31 14:15:00,"EV","Boston Garden","L","A",0,0
1983-03-05,"EDM","TOR",22,"Charlie Huddy",NA,"Mike Palmateer","1",1899-12-31 02:29:00,"EV","Maple Leaf Gardens","W","A",0,0
