"Date","Opponent","GF","GA","W","L","T","Streak","Result","HomeAway"
1983-11-13,"Chicago Black Hawks",3,5,15,3,1,"L 1","L","A"
1983-11-18,"Buffalo Sabres",7,0,16,3,1,"W 1","W","H"
1983-11-19,"New Jersey Devils",13,4,17,3,1,"W 2","W","H"
1983-11-21,"Winnipeg Jets",7,6,18,3,1,"W 3","W","H"
1983-11-23,"Los Angeles Kings",7,3,19,3,1,"W 4","W","A"
1983-11-25,"Minnesota North Stars",2,2,19,3,2,"T 1","T","A"
1983-11-26,"St. Louis Blues",6,8,19,4,2,"L 1","L","A"
1983-11-30,"Philadelphia Flyers",3,3,19,4,3,"T 1","T","H"
1983-12-03,"Los Angeles Kings",7,3,20,4,3,"W 1","W","H"
1983-12-04,"New York Islanders",2,4,20,5,3,"L 1","L","H"
1983-12-07,"Vancouver Canucks",5,4,21,5,3,"W 1","W","H"
1983-12-10,"Vancouver Canucks",2,3,21,6,3,"L 1","L","A"
1983-12-13,"New York Islanders",5,8,21,7,3,"L 2","L","A"
1983-12-14,"New York Rangers",9,4,22,7,3,"W 1","W","A"
1983-12-17,"Quebec Nordiques",8,1,23,7,3,"W 2","W","H"
1983-12-18,"Winnipeg Jets",7,5,24,7,3,"W 3","W","A"
1983-12-21,"Winnipeg Jets",7,4,25,7,3,"W 4","W","H"
1983-12-23,"Calgary Flames",5,5,25,7,4,"T 1","T","H"
1983-12-26,"Calgary Flames",6,3,26,7,4,"W 1","W","A"
1983-12-28,"Vancouver Canucks",4,2,27,7,4,"W 2","W","A"
1983-12-30,"Boston Bruins",2,0,28,7,4,"W 3","W","H"
1984-01-03,"Calgary Flames",9,6,29,7,4,"W 4","W","A"
1984-01-04,"Minnesota North Stars",12,8,30,7,4,"W 5","W","H"
1984-01-07,"Hartford Whalers",5,3,31,7,4,"W 6","W","H"
1984-01-09,"Detroit Red Wings",7,3,32,7,4,"W 7","W","A"
1984-01-11,"Chicago Black Hawks",5,3,33,7,4,"W 8","W","A"
1984-01-13,"Buffalo Sabres",1,3,33,8,4,"L 1","L","A"
1984-01-15,"New Jersey Devils",5,4,34,8,4,"W 1","W","A"
1984-01-18,"Vancouver Canucks",7,5,35,8,4,"W 2","W","H"
1984-01-20,"Los Angeles Kings",7,5,36,8,4,"W 3","W","H"
1984-01-21,"Los Angeles Kings",6,3,37,8,4,"W 4","W","A"
1984-01-25,"Vancouver Canucks",6,4,38,8,4,"W 5","W","A"
1984-01-27,"New Jersey Devils",3,3,38,8,5,"T 1","T","H"
1984-01-28,"Los Angeles Kings",2,4,38,9,5,"L 1","L","H"
1984-02-03,"Calgary Flames",10,5,39,9,5,"W 1","W","H"
1984-02-05,"Washington Capitals",2,9,39,10,5,"L 1","L","A"
1984-02-07,"New York Islanders",3,5,39,11,5,"L 2","L","A"
1984-02-09,"Philadelphia Flyers",3,4,39,12,5,"L 3","L","A"
1984-02-11,"Boston Bruins",1,4,39,13,5,"L 4","L","A"
1984-02-12,"Hartford Whalers",0,11,39,14,5,"L 5","L","A"
1984-02-15,"Winnipeg Jets",7,4,40,14,5,"W 1","W","H"
1984-02-17,"Boston Bruins",5,2,41,14,5,"W 2","W","H"
1984-02-19,"Pittsburgh Penguins",7,3,42,14,5,"W 3","W","H"
1984-02-21,"St. Louis Blues",6,5,43,14,5,"W 4","W","A"
1984-02-22,"Pittsburgh Penguins",9,2,44,14,5,"W 5","W","A"
1984-02-24,"Calgary Flames",5,3,45,14,5,"W 6","W","H"
1984-02-25,"Toronto Maple Leafs",8,3,46,14,5,"W 7","W","H"
1984-02-27,"Winnipeg Jets",6,5,47,14,5,"W 8","OTW","A"
1984-02-29,"Philadelphia Flyers",3,5,47,15,5,"L 1","L","H"
1984-03-04,"Montreal Canadiens",6,1,48,15,5,"W 1","W","H"
1984-03-07,"Chicago Black Hawks",7,4,49,15,5,"W 2","W","H"
1984-03-10,"New York Rangers",2,3,49,16,5,"L 1","L","H"
1984-03-11,"Vancouver Canucks",12,2,50,16,5,"W 1","W","H"
1984-03-13,"Quebec Nordiques",6,5,51,16,5,"W 2","OTW","A"
1984-03-15,"Montreal Canadiens",2,3,51,17,5,"L 1","L","A"
1984-03-17,"Los Angeles Kings",9,1,52,17,5,"W 1","W","H"
1984-03-18,"Buffalo Sabres",4,3,53,17,5,"W 2","W","H"
1984-03-21,"Hartford Whalers",5,3,54,17,5,"W 3","W","H"
1984-03-24,"St. Louis Blues",1,7,54,18,5,"L 1","L","H"
1984-03-25,"Winnipeg Jets",3,2,55,18,5,"W 1","W","H"
1984-03-27,"Calgary Flames",9,2,56,18,5,"W 2","W","A"
1984-03-31,"Los Angeles Kings",4,3,57,18,5,"W 3","W","A"
1984-10-11,"Los Angeles Kings",2,2,0,0,1,"T 1","T","A"
1984-10-12,"St. Louis Blues",5,1,1,0,1,"W 1","W","H"
1984-10-14,"Quebec Nordiques",9,2,2,0,1,"W 2","W","H"
1984-10-16,"Boston Bruins",7,2,3,0,1,"W 3","W","H"
1984-10-18,"Minnesota North Stars",7,5,4,0,1,"W 4","W","A"
1984-10-19,"Winnipeg Jets",7,4,5,0,1,"W 5","W","A"
1984-10-21,"Calgary Flames",6,4,6,0,1,"W 6","W","H"
1984-10-24,"Washington Capitals",3,3,6,0,2,"T 1","T","H"
1984-10-26,"Los Angeles Kings",8,2,7,0,2,"W 1","W","H"
1984-10-30,"Vancouver Canucks",7,0,8,0,2,"W 2","W","H"
1984-11-02,"Chicago Black Hawks",4,2,9,0,2,"W 3","W","H"
1984-11-04,"Winnipeg Jets",2,1,10,0,2,"W 4","W","A"
1984-11-06,"Pittsburgh Penguins",3,3,10,0,3,"T 1","T","A"
1984-11-08,"New Jersey Devils",3,2,11,0,3,"W 1","W","A"
1984-11-09,"Washington Capitals",8,5,12,0,3,"W 2","W","A"
1984-11-11,"Philadelphia Flyers",5,7,12,1,3,"L 1","L","A"
1984-11-14,"Montreal Canadiens",2,4,12,2,3,"L 2","L","H"
1984-11-15,"Calgary Flames",2,6,12,3,3,"L 3","L","A"
1984-11-17,"Vancouver Canucks",7,0,13,3,3,"W 1","W","H"
1984-11-21,"Winnipeg Jets",7,5,14,3,3,"W 2","W","H"
1984-11-24,"St. Louis Blues",7,6,15,3,3,"W 3","W","H"
1984-11-27,"Toronto Maple Leafs",7,1,16,3,3,"W 4","W","A"
1984-11-29,"Boston Bruins",4,2,17,3,3,"W 5","W","A"
1984-11-30,"Hartford Whalers",4,2,18,3,3,"W 6","W","A"
1984-12-05,"New York Islanders",6,4,19,3,3,"W 7","W","H"
1984-12-07,"Minnesota North Stars",6,3,20,3,3,"W 8","W","H"
1984-12-08,"Vancouver Canucks",2,3,20,4,3,"L 1","OTL","A"
1984-12-13,"Los Angeles Kings",2,7,20,5,3,"L 2","L","A"
1984-12-15,"St. Louis Blues",8,2,21,5,3,"W 1","W","A"
1984-12-17,"New Jersey Devils",2,5,21,6,3,"L 1","L","A"
1984-12-19,"Los Angeles Kings",7,3,22,6,3,"W 1","W","H"
1984-12-21,"Vancouver Canucks",1,3,22,7,3,"L 1","L","H"
1984-12-22,"Calgary Flames",7,1,23,7,3,"W 1","W","H"
1984-12-26,"Calgary Flames",6,5,24,7,3,"W 2","W","A"
1984-12-29,"Detroit Red Wings",6,3,25,7,3,"W 3","W","H"
1984-12-30,"Vancouver Canucks",7,7,25,7,4,"T 1","T","A"
1985-01-02,"Philadelphia Flyers",2,5,25,8,4,"L 1","L","H"
1985-01-04,"Winnipeg Jets",7,4,26,8,4,"W 1","W","H"
1985-01-06,"Winnipeg Jets",7,2,27,8,4,"W 2","W","A"
1985-01-08,"Quebec Nordiques",4,0,28,8,4,"W 3","W","A"
1985-01-10,"Montreal Canadiens",5,2,29,8,4,"W 4","W","A"
1985-01-12,"Pittsburgh Penguins",3,4,29,9,4,"L 1","L","A"
1985-01-13,"Buffalo Sabres",5,4,30,9,4,"W 1","W","A"
1985-01-16,"New York Islanders",3,3,30,9,5,"T 1","T","H"
1985-01-18,"Vancouver Canucks",4,4,30,9,6,"T 2","T","A"
1985-01-19,"Vancouver Canucks",7,5,31,9,6,"W 1","W","H"
1985-01-21,"Los Angeles Kings",8,7,32,9,6,"W 2","W","H"
1985-01-25,"New Jersey Devils",4,2,33,9,6,"W 3","W","H"
1985-01-26,"Pittsburgh Penguins",6,3,34,9,6,"W 4","W","H"
1985-01-28,"Calgary Flames",4,3,35,9,6,"W 5","W","H"
1985-01-29,"Calgary Flames",4,2,36,9,6,"W 6","W","A"
1985-02-02,"New York Rangers",5,1,37,9,6,"W 7","W","H"
1985-02-03,"Hartford Whalers",6,3,38,9,6,"W 8","W","H"
1985-02-06,"Winnipeg Jets",2,6,38,10,6,"L 1","L","A"
1985-02-08,"Minnesota North Stars",5,3,39,10,6,"W 1","W","A"
1985-02-09,"Detroit Red Wings",6,5,40,10,6,"W 2","W","A"
1985-02-15,"New York Rangers",7,8,40,11,6,"L 1","L","A"
1985-02-16,"Philadelphia Flyers",4,5,40,12,6,"L 2","L","A"
1985-02-18,"Buffalo Sabres",6,4,41,12,6,"W 1","W","A"
1985-02-19,"Toronto Maple Leafs",9,4,42,12,6,"W 2","W","A"
1985-02-22,"Quebec Nordiques",6,3,43,12,6,"W 3","W","H"
1985-02-23,"Washington Capitals",3,3,43,12,7,"T 1","T","H"
1985-02-27,"Montreal Canadiens",1,4,43,13,7,"L 1","L","H"
1985-03-01,"Los Angeles Kings",4,5,43,14,7,"L 2","L","H"
1985-03-03,"Winnipeg Jets",3,6,43,15,7,"L 3","L","H"
1985-03-05,"Calgary Flames",5,3,44,15,7,"W 1","W","A"
1985-03-09,"New York Rangers",3,3,44,15,8,"T 1","T","H"
1985-03-10,"Vancouver Canucks",3,6,44,16,8,"L 1","L","A"
1985-03-13,"Detroit Red Wings",7,6,45,16,8,"W 1","W","H"
1985-03-15,"Buffalo Sabres",4,4,45,16,9,"T 1","T","H"
1985-03-17,"Los Angeles Kings",4,5,45,17,9,"L 1","L","A"
1985-03-20,"Chicago Black Hawks",6,4,46,17,9,"W 1","W","H"
1985-03-22,"Toronto Maple Leafs",3,3,46,17,10,"T 1","T","H"
1985-03-26,"New York Islanders",7,5,47,17,10,"W 1","W","A"
1985-03-28,"Boston Bruins",3,6,47,18,10,"L 1","L","A"
1985-03-29,"Hartford Whalers",7,8,47,19,10,"L 2","L","A"
1985-03-31,"Chicago Black Hawks",7,3,48,19,10,"W 1","W","A"
1985-04-02,"Los Angeles Kings",6,4,49,19,10,"W 2","W","A"
